Job,average_salary
Magnetic Resonance Imaging Technologists,"86600"
Medical Dosimetrists,"131850"
Emergency Medical Technicians,"43100"
Paramedics,"57450"
Dietetic Technicians,"38440"
Pharmacy Technicians,"43330"
Psychiatric Technicians,"43650"
Surgical Technologists,"62250"
Veterinary Technologists and Technicians,"44040"
Ophthalmic Medical Technicians,"44290"
Licensed Practical and Licensed Vocational Nurses,"60790"
Medical Records Specialists,"53690"
"Opticians, Dispensing","47560"
Orthotists and Prosthetists,"80500"
Hearing Aid Specialists,"61550"
"Health Technologists and Technicians, All Other","54220"
Health Information Technologists and Medical Registrars,"70260"
Athletic Trainers,"61540"
Genetic Counselors,"98130"
Surgical Assistants,"65190"
"Healthcare Practitioners and Technical Workers, All Other","70800"
Nursing Assistants,"39610"
Orderlies,"38440"
Psychiatric Aides,"41000"
Occupational Therapy Assistants,"68170"
Occupational Therapy Aides,"42060"
Physical Therapist Assistants,"65860"
Physical Therapist Aides,"34810"
Massage Therapists,"62560"
Dental Assistants,"47350"
Medical Assistants,"43350"
Medical Equipment Preparers,"47410"
Medical Transcriptionists,"39090"
Pharmacy Aides,"38980"
Veterinary Assistants and Laboratory Animal Caretakers,"37310"
Phlebotomists,"43130"
"Healthcare Support Workers, All Other","47010"
First-Line Supervisors of Correctional Officers,"76840"
First-Line Supervisors of Police and Detectives,"106000"
First-Line Supervisors of Firefighting and Prevention Workers,"90740"
First-Line Supervisors of Security Workers,"59580"
"First-Line Supervisors of Protective Service Workers, All Other","67870"
Firefighters,"60390"
Fire Inspectors and Investigators,"82510"
Forest Fire Inspectors and Prevention Specialists,"61090"
Bailiffs,"58460"
Correctional Officers and Jailers,"58810"
Detectives and Criminal Investigators,"95930"
Fish and Game Wardens,"61120"
Parking Enforcement Workers,"50430"
Police and Sheriff's Patrol Officers,"76550"
Transit and Railroad Police,"78230"
Animal Control Workers,"48150"
Private Detectives and Investigators,"60270"
Gambling Surveillance Officers and Gambling Investigators,"42460"
Security Guards,"40440"
Crossing Guards and Flaggers,"40650"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","31340"
Transportation Security Screeners,"51040"
School Bus Monitors,"33970"
"Protective Service Workers, All Other","47420"
Chefs and Head Cooks,"62640"
First-Line Supervisors of Food Preparation and Serving Workers,"43310"
"Cooks, Fast Food","29760"
"Cooks, Institution and Cafeteria","35920"
"Cooks, Private Household","49790"
"Cooks, Restaurant","36060"
"Cooks, Short Order","33920"
"Cooks, All Other","37610"
Food Preparation Workers,"32960"
Bartenders,"37090"
Fast Food and Counter Workers,"30110"
Waiters and Waitresses,"36530"
"Food Servers, Nonrestaurant","33840"
Dining Room and Cafeteria Attendants and Bartender Helpers,"32730"
Dishwashers,"31650"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","30750"
"Food Preparation and Serving Related Workers, All Other","35430"
First-Line Supervisors of Housekeeping and Janitorial Workers,"49980"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","58920"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","36250"
Maids and Housekeeping Cleaners,"34650"
"Building Cleaning Workers, All Other","43740"
Pest Control Workers,"44650"
Landscaping and Groundskeeping Workers,"39790"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","44480"
Tree Trimmers and Pruners,"52850"
"Grounds Maintenance Workers, All Other","46540"
First-Line Supervisors of Gambling Services Workers,"62110"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","50650"
First-Line Supervisors of Personal Service Workers,"50090"
Animal Trainers,"44910"
Animal Caretakers,"33530"
Gambling Dealers,"40030"
Gambling and Sports Book Writers and Runners,"32030"
"Gambling Service Workers, All Other","35650"
Motion Picture Projectionists,"43800"
"Ushers, Lobby Attendants, and Ticket Takers","30520"
Amusement and Recreation Attendants,"30240"
Costume Attendants,"60230"
"Locker Room, Coatroom, and Dressing Room Attendants","34590"
"Entertainment Attendants and Related Workers, All Other","34670"
Embalmers,"56690"
Crematory Operators,"44290"
Funeral Attendants,"35200"
"Morticians, Undertakers, and Funeral Arrangers","58020"
Barbers,"41570"
"Hairdressers, Hairstylists, and Cosmetologists","41780"
"Makeup Artists, Theatrical and Performance","68590"
Manicurists and Pedicurists,"36480"
Shampooers,"29260"
Skincare Specialists,"51100"
Baggage Porters and Bellhops,"36100"
Concierges,"40230"
Childcare Workers,"32070"
Exercise Trainers and Group Fitness Instructors,"51270"
Recreation Workers,"36270"
Residential Advisors,"40200"
"Personal Care and Service Workers, All Other","37190"
First-Line Supervisors of Retail Sales Workers,"52030"
First-Line Supervisors of Non-Retail Sales Workers,"99020"
Cashiers,"30710"
Gambling Change Persons and Booth Cashiers,"36030"
Counter and Rental Clerks,"41630"
Parts Salespersons,"41080"
Retail Salespersons,"36690"
Advertising Sales Agents,"75820"
Insurance Sales Agents,"79700"
"Securities, Commodities, and Financial Services Sales Agents","109710"
Travel Agents,"50040"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","81080"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","113520"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","80490"
Demonstrators and Product Promoters,"41090"
Models,"68700"
Real Estate Brokers,"86130"
Real Estate Sales Agents,"69610"
Sales Engineers,"130550"
Telemarketers,"36680"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","42200"
"Sales and Related Workers, All Other","54150"
First-Line Supervisors of Office and Administrative Support Workers,"68620"
"Switchboard Operators, Including Answering Service","40020"
Telephone Operators,"42100"
"Communications Equipment Operators, All Other","53240"
Bill and Account Collectors,"46020"
Billing and Posting Clerks,"47120"
"Bookkeeping, Accounting, and Auditing Clerks","49580"
Gambling Cage Workers,"36750"
Payroll and Timekeeping Clerks,"54690"
Procurement Clerks,"47940"
Tellers,"38850"
"Financial Clerks, All Other","52690"
Brokerage Clerks,"63130"
Correspondence Clerks,"46940"
"Court, Municipal, and License Clerks","48760"
"Credit Authorizers, Checkers, and Clerks","50380"
Customer Service Representatives,"43520"
"Eligibility Interviewers, Government Programs","51840"
File Clerks,"40730"
"Hotel, Motel, and Resort Desk Clerks","32570"
"Interviewers, Except Eligibility and Loan","42750"
"Library Assistants, Clerical","35970"
Loan Interviewers and Clerks,"48660"
New Accounts Clerks,"44670"
Order Clerks,"43530"
"Human Resources Assistants, Except Payroll and Timekeeping","48800"
Receptionists and Information Clerks,"36590"
Reservation and Transportation Ticket Agents and Travel Clerks,"46820"
"Information and Record Clerks, All Other","47840"
Cargo and Freight Agents,"52460"
Couriers and Messengers,"38350"
Public Safety Telecommunicators,"52140"
"Dispatchers, Except Police, Fire, and Ambulance","50830"
"Meter Readers, Utilities","53610"
Postal Service Clerks,"59240"
Postal Service Mail Carriers,"59340"
